,min_dist_H1ESC,min_dist_HFFC6,quartile_cat_H1ESC,quartile_cat_HFFC6,log2FoldChange,padj
ENSG00000133110,12.507752,0.71844465,large,small,7.534813376603439,1.1473180746700597e-11
ENSG00000198053,4.6470695,1.3876586,large,small,3.9906611264319287,1.1300866342621625e-76
ENSG00000080503,3.39936,1.8808827,mid,small,2.518349169451953,2.0795095390829203e-60
ENSG00000013016,4.018194,0.68730986,mid,small,2.7373668803735933,3.857355311411558e-65
ENSG00000112902,18.868752,0.61397237,large,small,3.383366897272339,1.6986790619059065e-89
ENSG00000121281,10.646239,1.7703987,large,small,3.4762335469612147,4.919529412072735e-72
ENSG00000160216,6.1430144,0.5670137,large,small,4.870859182216194,3.796904715083146e-249
ENSG00000213625,1.1851459,0.73083574,mid,small,2.598227944339584,2.65308841690512e-93
ENSG00000159899,3.2643414,0.5705285,mid,small,2.037371716779585,2.476671171632587e-49
ENSG00000141696,2.0691845,0.9130814,mid,small,2.031811995437887,2.9760089858255117e-28
ENSG00000170921,4.303233,0.5112378,large,small,2.4832971117548595,7.01554469239327e-34
ENSG00000141469,1.7868117,2.1293244,mid,small,3.2136432977336122,0.0038522062374408113
ENSG00000170558,7.292773,1.6104393,large,small,2.746315695211644,5.9329198316257905e-28
ENSG00000162302,2.6551776,0.6785324,mid,small,2.619148679145485,2.555199842165663e-35
ENSG00000141449,5.201571,0.49927688,mid,small,4.738494138151013,9.941809235666685e-15
ENSG00000253368,1.3263692,1.155104,mid,small,2.576438586254768,3.32980271830041e-100
ENSG00000110090,6.2294965,0.2345211,large,small,2.4871421222325023,4.4061958562526574e-23
ENSG00000232453,5.2128463,0.17274123,large,small,5.122440800872832,0.000357067732240555
ENSG00000225648,5.0719957,2.2336,mid,small,2.6154471419897907,1.7332789027650907e-31
ENSG00000112186,4.053276,0.19569021,mid,small,3.4590423224188154,4.625323715247018e-93
ENSG00000149256,7.9937806,0.9238671,large,small,3.0860480692566807,8.089475911902522e-23
ENSG00000116678,1.1851459,0.73083574,mid,small,2.8703602431783217,6.403744227191084e-24
ENSG00000198542,31.729753,0.4160159,large,small,12.70715805583689,2.1056715419305563e-18
ENSG00000135362,3.785818,0.99009496,mid,small,2.056540761756111,9.36802988105338e-34
ENSG00000262185,1.81282,0.5301287,mid,small,2.6427200752274125,0.00021538173656400687
ENSG00000250786,18.868752,0.61397237,large,small,2.4700992537600097,1.4641302309599244e-25
ENSG00000164294,7.1000714,0.7705138,mid,small,2.274237107385436,1.6264134735995814e-76
ENSG00000006576,4.813653,1.2476233,mid,small,2.1890983564669035,2.086709210002866e-58
ENSG00000130513,4.6873436,0.5407482,large,small,2.9491625916619864,7.045797014518499e-20
ENSG00000152689,2.4333177,0.7116968,mid,small,4.735389174674551,1.905886047912179e-10
ENSG00000138347,3.0389051,1.4885552,mid,small,13.306611470975527,4.639053445152904e-20
ENSG00000150281,3.1313336,1.9399104,mid,small,4.52555658572052,5.0060126303789996e-39
ENSG00000133816,8.893929,1.6463182,large,small,6.807246819036051,0.0
ENSG00000026508,15.368261,1.5025597,large,small,8.005070843804157,0.0
ENSG00000206538,6.581523,0.18087001,large,small,3.4909270581111715,1.9838177889749397e-82
ENSG00000127863,6.513107,0.36565968,large,small,3.9776222286135914,8.413147381491929e-40
ENSG00000183323,5.2748814,2.3949413,mid,small,6.683734389034286,1.5576992556041804e-10
ENSG00000232855,21.861,0.230836,large,small,4.136328110456705,0.00352179942770449
ENSG00000180332,13.934348,1.2477136,large,small,9.061935845864193,0.0006111067363212834
ENSG00000164733,4.6954527,1.9371152,mid,small,5.22005403510383,2.6260501415016288e-145
ENSG00000134109,4.5378003,1.9993138,mid,small,2.3732162182419745,2.3978864990250567e-64
ENSG00000138641,11.607716,2.1344879,large,small,2.705040501396757,4.616894843378627e-30
ENSG00000174945,1.6260606,1.1599588,mid,small,3.4197738101680857,5.345506504735789e-25
ENSG00000142156,1.8795063,0.5766176,mid,small,2.4844878033876996,1.0717698275742589e-63
ENSG00000232295,10.085986,1.3315909,large,small,5.507933209404931,0.024168720569114652
ENSG00000204592,3.43623,2.9504256,mid,small,2.796870903369005,4.091733495737732e-121
ENSG00000163513,10.778574,0.39884296,large,small,4.234614245341699,1.5716390364759534e-84
ENSG00000183011,7.5764866,2.510648,large,small,2.460047404477002,3.411627072361004e-46
ENSG00000150687,2.4281323,1.6422745,mid,small,6.202435190384388,7.959205368643394e-152
