,Term,P-value,Adjusted P-value,Overlap,Combined Score,Genes,Genes Ratio,Genes Number,CellType
52,VLDL Clearance,0.0464791191856751,0.3935749745691655,1/6,77.54756145881895,APOC1,0.006329113924050633,1,H1ESC
53,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.0467213833685865,0.3935749745691655,10/688,5.850866622591404,PREX2;PARD6B;CDH1;BUB1B;PRKCA;RHPN2;MYL9;UACA;MYH10;ARHGAP23,0.06329113924050633,10,H1ESC
54,SUMOylation of Transcription Cofactors,0.0472633703085242,0.3935749745691655,2/44,18.44627288536229,PHC1;CBX2,0.012658227848101266,2,H1ESC
55,Sphingolipid Metabolism,0.0529753247528865,0.4132356201310628,3/107,10.791968389795748,CERS4;FUT2;CERS1,0.0189873417721519,3,H1ESC
56,SUMOylation of RNA Binding Proteins,0.0531925999737544,0.4132356201310628,2/47,16.547336497112475,PHC1;CBX2,0.012658227848101266,2,H1ESC
57,Nectin Necl Trans Heterodimerization,0.0540141765073125,0.4132356201310628,1/7,61.45598656687102,PVR,0.006329113924050633,1,H1ESC
58,CREB Phosphorylation,0.0540141765073125,0.4132356201310628,1/7,61.45598656687102,RPS6KA5,0.006329113924050633,1,H1ESC
59,Gap Junction Trafficking,0.055224894247952,0.4132356201310628,2/48,15.9799262088823,GJC1;CLTCL1,0.012658227848101266,2,H1ESC
60,Regulation of Endogenous Retroelements,0.0578916981754032,0.4132356201310628,3/111,10.076298120739512,ZNF33A;ZNF519;ZNF418,0.0189873417721519,3,H1ESC
61,Signaling by ERBB2,0.0593699722530508,0.4132356201310628,2/50,14.929913680908546,NRG3;PRKCA,0.012658227848101266,2,H1ESC
62,Gap Junction Trafficking and Regulation,0.0614816679159086,0.4132356201310628,2/51,14.443484632546348,GJC1;CLTCL1,0.012658227848101266,2,H1ESC
63,Noncanonical Activation of NOTCH3,0.0614900644575436,0.4132356201310628,1/8,50.334329635540946,NOTCH3,0.006329113924050633,1,H1ESC
64,Defective CHST6 Causes MCDC1,0.0614900644575436,0.4132356201310628,1/8,50.334329635540946,CHST6,0.006329113924050633,1,H1ESC
65,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs IMPs VICKZs) Bind RNA,0.0614900644575436,0.4132356201310628,1/8,50.334329635540946,IGF2BP1,0.006329113924050633,1,H1ESC
66,Apoptotic Execution Phase,0.0636187540047814,0.4132356201310628,2/52,13.980495226895686,CDH1;MAPT,0.012658227848101266,2,H1ESC
67,RHO GTPases Activate Rhotekin and Rhophilins,0.0689072444303956,0.4132356201310628,1/9,42.24190306488084,RHPN2,0.006329113924050633,1,H1ESC
68,ROBO Receptors Bind AKAP5,0.0689072444303956,0.4132356201310628,1/9,42.24190306488084,PRKCA,0.006329113924050633,1,H1ESC
69,EGFR Transactivation by Gastrin,0.0689072444303956,0.4132356201310628,1/9,42.24190306488084,PRKCA,0.006329113924050633,1,H1ESC
70,Sperm Motility And Taxes,0.0689072444303956,0.4132356201310628,1/9,42.24190306488084,CATSPERB,0.006329113924050633,1,H1ESC
71,Gastrulation,0.0697066924284075,0.4132356201310628,3/120,8.690939247851391,CDH1;CLDN7;ZNF521,0.0189873417721519,3,H1ESC
72,L1CAM Interactions,0.0697066924284075,0.4132356201310628,3/120,8.690939247851391,RPS6KA5;LAMA1;SPTBN2,0.0189873417721519,3,H1ESC
73,Signaling by Non-Receptor Tyrosine Kinases,0.070177117116477,0.4132356201310628,2/55,12.71748647830941,NRG3;BCAR1,0.012658227848101266,2,H1ESC
74,Signaling by PTK6,0.070177117116477,0.4132356201310628,2/55,12.71748647830941,NRG3;BCAR1,0.012658227848101266,2,H1ESC
75,Regulation of PTEN Stability and Activity,0.0724105601475307,0.4132356201310628,2/56,12.334158872924991,PREX2;TNKS2,0.012658227848101266,2,H1ESC
76,Acetylcholine Regulates Insulin Secretion,0.0762661742978172,0.4132356201310628,1/10,36.12224803851215,PRKCA,0.006329113924050633,1,H1ESC
77,PI3K Events in ERBB4 Signaling,0.0762661742978172,0.4132356201310628,1/10,36.12224803851215,NRG3,0.006329113924050633,1,H1ESC
78,Formation of the Posterior Neural Plate,0.0762661742978172,0.4132356201310628,1/10,36.12224803851215,ZNF521,0.006329113924050633,1,H1ESC
79,Signal Attenuation,0.0762661742978172,0.4132356201310628,1/10,36.12224803851215,INSR,0.006329113924050633,1,H1ESC
80,HuR (ELAVL1) Binds and Stabilizes mRNA,0.0762661742978172,0.4132356201310628,1/10,36.12224803851215,PRKCA,0.006329113924050633,1,H1ESC
81,InlA-mediated Entry of Listeria Monocytogenes Into Host Cells,0.0762661742978172,0.4132356201310628,1/10,36.12224803851215,CDH1,0.006329113924050633,1,H1ESC
82,SUMOylation of Chromatin Organization Proteins,0.0769454139195343,0.4132356201310628,2/58,11.617294721430028,PHC1;CBX2,0.012658227848101266,2,H1ESC
83,Signaling by ERBB4,0.0769454139195343,0.4132356201310628,2/58,11.617294721430028,NRG3;GABRG3,0.012658227848101266,2,H1ESC
84,Adherens Junctions Interactions,0.0792458418560988,0.4132356201310628,2/59,11.28181256265801,CDH1;PVR,0.012658227848101266,2,H1ESC
85,Apoptotic Cleavage of Cell Adhesion Proteins,0.0835673084792737,0.4132356201310628,1/11,31.35354417908075,CDH1,0.006329113924050633,1,H1ESC
86,Regulation of the Apoptosome Activity,0.0835673084792737,0.4132356201310628,1/11,31.35354417908075,UACA,0.006329113924050633,1,H1ESC
87,Formation of Annular Gap Junctions,0.0835673084792737,0.4132356201310628,1/11,31.35354417908075,CLTCL1,0.006329113924050633,1,H1ESC
88,Formation of Apoptosome,0.0835673084792737,0.4132356201310628,1/11,31.35354417908075,UACA,0.006329113924050633,1,H1ESC
89,Formation of the Anterior Neural Plate,0.0835673084792737,0.4132356201310628,1/11,31.35354417908075,ZNF521,0.006329113924050633,1,H1ESC
90,Sodium Calcium Exchangers,0.0835673084792737,0.4132356201310628,1/11,31.35354417908075,SLC24A3,0.006329113924050633,1,H1ESC
91,TGFBR3 PTM Regulation,0.0835673084792737,0.4132356201310628,1/11,31.35354417908075,TIMP2,0.006329113924050633,1,H1ESC
92,Regulation of PTEN Gene Transcription,0.0839102896772682,0.4132356201310628,2/61,10.652414839563072,PHC1;CBX2,0.012658227848101266,2,H1ESC
93,RHO GTPases Activate PKNs,0.0862733639521222,0.4203531988305533,2/62,10.35695221659319,MYL9;MYH10,0.012658227848101266,2,H1ESC
94,Aspartate and Asparagine Metabolism,0.0908110978807797,0.4255609563494151,1/12,27.547220023939616,NAALAD2,0.006329113924050633,1,H1ESC
95,Caspase-mediated Cleavage of Cytoskeletal Proteins,0.0908110978807797,0.4255609563494151,1/12,27.547220023939616,MAPT,0.006329113924050633,1,H1ESC
96,Gap Junction Degradation,0.0908110978807797,0.4255609563494151,1/12,27.547220023939616,CLTCL1,0.006329113924050633,1,H1ESC
97,Semaphorin Interactions,0.0910588945900495,0.4255609563494151,2/64,9.801034126690338,MYL9;MYH10,0.012658227848101266,2,H1ESC
98,Cytochrome C-Mediated Apoptotic Response,0.0979979899693764,0.4299001817866044,1/13,24.448667095484595,UACA,0.006329113924050633,1,H1ESC
99,ERBB2 Activates PTK6 Signaling,0.0979979899693764,0.4299001817866044,1/13,24.448667095484595,NRG3,0.006329113924050633,1,H1ESC
100,Glutathione Synthesis and Recycling,0.0979979899693764,0.4299001817866044,1/13,24.448667095484595,CHAC1,0.006329113924050633,1,H1ESC
101,Synthesis of PE,0.0979979899693764,0.4299001817866044,1/13,24.448667095484595,CHKA,0.006329113924050633,1,H1ESC
102,Telomere C-strand Synthesis Initiation,0.0979979899693764,0.4299001817866044,1/13,24.448667095484595,TERF1,0.006329113924050633,1,H1ESC
103,"PTK6 Regulates RHO GTPases, RAS GTPase and MAP Kinases",0.1051284287338421,0.4299001817866044,1/14,21.884498286895393,BCAR1,0.006329113924050633,1,H1ESC
104,"Defective EXT1 Causes Exostoses 1, TRPS2 and CHDS",0.1051284287338421,0.4299001817866044,1/14,21.884498286895393,SDC4,0.006329113924050633,1,H1ESC
105,Defective EXT2 Causes Exostoses 2,0.1051284287338421,0.4299001817866044,1/14,21.884498286895393,SDC4,0.006329113924050633,1,H1ESC
106,Repression of WNT Target Genes,0.1051284287338421,0.4299001817866044,1/14,21.884498286895393,TLE2,0.006329113924050633,1,H1ESC
107,SHC1 Events in ERBB4 Signaling,0.1051284287338421,0.4299001817866044,1/14,21.884498286895393,NRG3,0.006329113924050633,1,H1ESC
108,Glutamate and Glutamine Metabolism,0.1051284287338421,0.4299001817866044,1/14,21.884498286895393,RIMKLB,0.006329113924050633,1,H1ESC
109,IRAK1 Recruits IKK Complex,0.1051284287338421,0.4299001817866044,1/14,21.884498286895393,PELI2,0.006329113924050633,1,H1ESC
110,IRAK1 Recruits IKK Complex Upon TLR7 8 or 9 Stimulation,0.1051284287338421,0.4299001817866044,1/14,21.884498286895393,PELI2,0.006329113924050633,1,H1ESC
111,Lysosphingolipid and LPA Receptors,0.1051284287338421,0.4299001817866044,1/14,21.884498286895393,PLPPR3,0.006329113924050633,1,H1ESC
112,Generic Transcription Pathway,0.1079498564175494,0.4318395586572912,14/1230,3.3150797761601063,ZNF100;NOTCH3;PHC1;RBFOX3;CBX2;ZNF43;ZNF33A;ZFP14;ZNF519;ZNF418;ZNF724;ZNF215;MYL9;ZNF521,0.08860759493670886,14,H1ESC
113,Diseases Associated With O-glycosylation of Proteins,0.1083849238459117,0.4318395586572912,2/71,8.16367828427924,NOTCH3;ADAMTS17,0.012658227848101266,2,H1ESC
