Experiment,Jump set,Gene count,Term,P-value,Adjusted P-value,Overlap,Combined Score,Genes,Genes Ratio,Genes Number
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Scavenging by Class B Receptors,0.0647865856624797,0.309949798390349,1/6,48.97005710035234,SAA1,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,GDP-fucose Biosynthesis,0.0647865856624797,0.309949798390349,1/6,48.97005710035234,FCSK,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Constitutive Signaling by Aberrant PI3K in Cancer,0.0650080060109576,0.309949798390349,3/83,9.219085103007105,NTRK2;RHOG;PIK3CD,0.012396694214876033,3
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Apoptotic Cleavage of Cellular Proteins,0.0664350975776469,0.309949798390349,2/38,13.517934595734644,DBNL;GAS2,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,PI Metabolism,0.0668866392591746,0.309949798390349,3/84,9.009906950271448,PIK3CD;PIK3R6;PIK3R5,0.012396694214876033,3
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Fc Epsilon Receptor (FCERI) Signaling,0.0690218491449132,0.309949798390349,5/197,6.283588215992917,TEC;SYK;GRAP2;PLCG2;NFKB1,0.02066115702479339,5
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Platelet Aggregation (Plug Formation),0.06952947496844,0.309949798390349,2/39,12.9311044597951,APBB1IP;SYK,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,DDX58 IFIH1-mediated Induction of Interferon-Alpha Beta,0.0707176514970926,0.309949798390349,3/86,8.610866161446987,NLRC5;SAA1;NFKB1,0.012396694214876033,3
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Transcriptional Regulation by RUNX3,0.0707176514970926,0.309949798390349,3/86,8.610866161446987,KAT2B;ITGAL;RUNX3,0.012396694214876033,3
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Platelet Homeostasis,0.072669565461522,0.309949798390349,3/87,8.420478065852985,FGR;STIM1;PTPN6,0.012396694214876033,3
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Parasite Infection,0.0738058546537547,0.309949798390349,4/142,6.80601917092279,FGR;HCK;SYK;ARPC1B,0.01652892561983471,4
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,FCGR3A-mediated Phagocytosis,0.0738058546537547,0.309949798390349,4/142,6.80601917092279,FGR;HCK;SYK;ARPC1B,0.01652892561983471,4
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Leishmania Phagocytosis,0.0738058546537547,0.309949798390349,4/142,6.80601917092279,FGR;HCK;SYK;ARPC1B,0.01652892561983471,4
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Programmed Cell Death,0.0750401858275066,0.309949798390349,5/202,5.931078207739855,DBNL;MLKL;GAS2;GSDME;TP73,0.02066115702479339,5
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Activated NTRK2 Signals Through FYN,0.0751705491112806,0.309949798390349,1/7,38.58963208510021,NTRK2,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Activated NTRK2 Signals Through PI3K,0.0751705491112806,0.309949798390349,1/7,38.58963208510021,NTRK2,0.004132231404958678,1
