,min_dist_HFFC6,min_dist_GM12878,quartile_cat_HFFC6,quartile_cat_GM12878,log2FoldChange,padj
ENSG00000223768,1.0873854,0.9533152,small,mid,-2.392713589163774,5.025605893434006e-47
ENSG00000122694,1.8754716,1.7757194,small,mid,-2.9399460830049535,1.1230755208430213e-36
ENSG00000130304,1.9282149,1.3491864,small,mid,-2.7900251109077026,1.4061747692578835e-50
ENSG00000011105,0.567511,1.4017897,small,mid,-7.896232789484347,6.525713156055212e-57
ENSG00000138080,0.6393801,1.773916,small,mid,-6.90070072191574,2.11724367749943e-201
ENSG00000137207,3.172435,2.2703757,small,mid,-2.0243649949959925,2.338457001985181e-50
ENSG00000013364,1.1552753,1.0844796,small,mid,-2.0421916073423163,8.179361709340532e-57
ENSG00000151067,0.90491605,7.8878083,small,large,-8.538668964223431,5.028303628765517e-39
ENSG00000104219,0.82060134,74.51614,small,large,-2.186396087489615,1.2724266499829533e-72
ENSG00000036054,3.2153594,2.8632245,small,mid,-2.030251632923101,6.554211405376544e-45
ENSG00000100003,1.3463669,2.9152668,small,mid,-4.685485870899349,4.224181910799883e-48
ENSG00000099377,0.2168188,2.0242162,small,mid,-3.959720033206633,1.0792822222660744e-53
ENSG00000132000,1.6162555,1.4192538,small,mid,-8.080921187082064,1.1973191495938363e-14
ENSG00000232807,1.3770442,3.8477414,small,large,-2.1764335290645747,0.02684838996082842
ENSG00000118985,0.9437693,4.1946454,small,mid,-2.750550167158279,3.4712482640005644e-49
ENSG00000141449,0.49927688,10.8245945,small,large,-6.716060504734624,1.9313107049648646e-11
ENSG00000105245,0.84835696,8.160962,small,large,-2.5793090624994344,1.2507046870597344e-67
ENSG00000249042,0.85599357,1.3141495,small,mid,-4.7504400082272324,4.3065373231201405e-14
ENSG00000073921,1.6210799,3.723752,small,large,-2.7978720057592508,8.819719696261479e-88
ENSG00000185022,0.71898866,4.2482395,small,large,-4.180170457711266,2.9389350746721747e-53
ENSG00000186866,1.0873854,0.9533152,small,mid,-2.921356321507038,5.9905561756120665e-59
ENSG00000132386,0.7911454,6.5802293,small,large,-3.4391826898681552,7.414061617178232e-13
ENSG00000163879,1.6153983,2.3171449,small,mid,-4.50524556911013,2.72195792197399e-06
ENSG00000002834,0.940439,4.122881,small,large,-2.2279656617495696,8.732429214881994e-76
ENSG00000119986,0.6403029,2.122047,small,mid,-4.957041830486528,2.535128225891871e-67
ENSG00000140941,0.7873485,1.4453273,small,mid,-2.3664269500620847,1.0765914814523891e-35
ENSG00000122507,1.5423405,2.9188166,small,mid,-2.329882578468803,1.0034423909903508e-34
ENSG00000142192,0.56625444,2.4627047,small,mid,-2.3582430579039513,2.44797790434348e-100
ENSG00000196781,0.9424798,7.559614,small,large,-5.868068054262002,4.1874748436626526e-30
ENSG00000223802,1.3958687,6.8437405,small,large,-3.287924031568039,0.004844729659328918
ENSG00000260641,0.8100208,0.971134,small,mid,-8.616738263530673,0.0014200261119633566
