,min_dist_GM12878,min_dist_H1ESC,quartile_cat_GM12878,quartile_cat_H1ESC
ENSG00000275832,4.5091853,0.19046223,large,small
ENSG00000111912,107.642166,80.591774,large,mid
ENSG00000156011,27.435066,13.440796,large,mid
ENSG00000140675,3.6056485,3.0296333,large,mid
ENSG00000100852,5.0920086,1.5358313,large,mid
ENSG00000237945,5.3912306,4.3461924,large,mid
ENSG00000183250,5.6322646,3.2962472,large,mid
ENSG00000071242,107.642166,80.591774,large,mid
ENSG00000131941,4.300431,0.2900956,large,small
ENSG00000048740,20.794418,1.8529814,large,small
ENSG00000247271,6.6469727,6.6229124,large,mid
ENSG00000009413,107.642166,80.591774,large,mid
ENSG00000007237,5.981591,3.2237766,large,mid
ENSG00000137831,9.406624,0.38946626,large,small
ENSG00000091844,107.642166,80.591774,large,mid
ENSG00000100504,15.632946,3.6349523,large,mid
ENSG00000078269,107.642166,80.591774,large,mid
ENSG00000175183,17.50244,1.56422,large,small
ENSG00000111885,107.642166,80.591774,large,mid
ENSG00000203799,107.642166,80.591774,large,mid
ENSG00000112290,107.642166,80.591774,large,mid
ENSG00000157423,11.024357,2.503739,large,mid
ENSG00000141198,15.820173,0.15865527,large,small
ENSG00000224506,107.642166,80.591774,large,mid
ENSG00000239713,4.3003554,0.6305292,large,small
ENSG00000128965,4.0269613,0.21493226,large,small
ENSG00000259933,4.3904676,1.591766,large,mid
ENSG00000181350,8.797395,2.0521734,large,mid
ENSG00000165929,5.018494,3.7154713,large,mid
ENSG00000100196,9.006008,2.7126882,large,mid
ENSG00000170190,3.7417054,0.47068223,large,small
ENSG00000149260,6.9699965,2.4827776,large,mid
ENSG00000111110,21.0084,4.678835,large,mid
ENSG00000120594,8.332487,0.4980928,large,small
ENSG00000060762,107.642166,80.591774,large,mid
ENSG00000165821,5.2222595,0.21469131,large,small
ENSG00000110076,6.440129,4.437796,large,mid
ENSG00000259071,4.1593795,1.6290742,large,mid
ENSG00000172346,6.202843,0.8483032,large,small
ENSG00000186868,9.23951,0.5872297,large,small
ENSG00000154639,15.748567,0.3148617,large,small
ENSG00000134769,24.08619,0.16758735,large,small
ENSG00000108797,3.9478302,0.5172597,large,small
ENSG00000118503,107.642166,80.591774,large,mid
ENSG00000084444,13.288068,1.8460953,large,small
ENSG00000101335,5.423455,0.6469002,large,small
ENSG00000111962,107.642166,80.591774,large,mid
ENSG00000100242,6.8991246,0.37533692,large,small
ENSG00000088305,4.3303666,0.6845174,large,small
ENSG00000095637,9.089839,2.627488,large,mid
ENSG00000196376,107.642166,80.591774,large,mid
ENSG00000073008,3.7302854,0.52669823,large,small
ENSG00000072134,12.515721,2.7266653,large,mid
ENSG00000099284,11.867953,0.28083134,large,small
ENSG00000148948,20.12935,0.7620043,large,small
ENSG00000183578,6.149181,1.0243306,large,small
ENSG00000080546,107.642166,80.591774,large,mid
ENSG00000171877,6.129202,0.5299518,large,small
