##########################################################################################
# with mids (small -> mid/large)
##########################################################################################

==========================================================================================
GM12878 small vs H1ESC mid/large   (242 genes, 602 reactome terms)
==========================================================================================
  Binding of TCF LEF CTNNB1 to Target Gene Promoters	(FDR=0.321)
  Biosynthesis of Maresins	(FDR=0.321)
  RUNX3 Regulates WNT Signaling	(FDR=0.321)
  RUNX3 Regulates YAP1-mediated Transcription	(FDR=0.321)
  Regulation of NFE2L2 Gene Expression	(FDR=0.321)
  Regulation of Gene Expression in Early Pancreatic Precursor Cells	(FDR=0.321)
  Formation of the Editosome	(FDR=0.321)
  Interleukin-18 Signaling	(FDR=0.321)
  TP53 Regulates Transcription of Cell Death Genes	(FDR=0.321)
  Intra-Golgi Traffic	(FDR=0.321)
  Uptake and Actions of Bacterial Toxins	(FDR=0.321)
  Phospholipid Metabolism	(FDR=0.321)
  FCGR Activation	(FDR=0.321)
  MITF-M-dependent Gene Expression	(FDR=0.321)
  Interleukin-10 Signaling	(FDR=0.325)
  Mitochondrial Protein Degradation	(FDR=0.325)
  Activated NTRK2 Signals Through RAS	(FDR=0.325)
  Activation of PUMA and Translocation to Mitochondria	(FDR=0.325)
  Nef and Signal Transduction	(FDR=0.325)
  Atorvastatin ADME	(FDR=0.325)
  PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1	(FDR=0.325)
  Formyl Peptide Receptors Bind Formyl Peptides and Many Other Ligands	(FDR=0.325)
  Synthesis of 5-Eicosatetraenoic Acids	(FDR=0.325)
  Interleukin-1 Processing	(FDR=0.325)
  Interleukin-9 Signaling	(FDR=0.325)
  Microbial Modulation of RIPK1-mediated Regulated Necrosis	(FDR=0.325)
  P75 NTR Receptor-Mediated Signalling	(FDR=0.325)
  Heme Signaling	(FDR=0.325)
  Hemostasis	(FDR=0.325)
  RNA Polymerase I Transcription Initiation	(FDR=0.334)
  Anti-inflammatory Response Favouring Leishmania Parasite Infection	(FDR=0.336)
  Leishmania Parasite Growth and Survival	(FDR=0.336)
  mRNA Editing	(FDR=0.336)
  Activation of Ca-permeable Kainate Receptor	(FDR=0.336)
  RUNX3 Regulates p14-ARF	(FDR=0.336)
  Regulation of FOXO Transcriptional Activity by Acetylation	(FDR=0.336)
  Glucocorticoid Biosynthesis	(FDR=0.336)
  Interleukin-21 Signaling	(FDR=0.336)
  Tetrahydrobiopterin (BH4) Synthesis, Recycling, Salvage and Regulation	(FDR=0.336)
  Ionotropic Activity of Kainate Receptors	(FDR=0.336)
  Transcriptional and Post-Translational Regulation of MITF-M Expression and Activity	(FDR=0.348)
  Apoptotic Execution Phase	(FDR=0.354)
  Activated NTRK2 Signals Through FRS2 and FRS3	(FDR=0.354)
  Androgen Biosynthesis	(FDR=0.354)
  RHO GTPases Activate KTN1	(FDR=0.354)
  Regulated Proteolysis of p75NTR	(FDR=0.354)
  Transport of Organic Anions	(FDR=0.354)
  Role of Phospholipids in Phagocytosis	(FDR=0.354)
  Stimuli-sensing Channels	(FDR=0.354)
  Apoptosis	(FDR=0.355)
  Activation of NF-kappaB in B Cells	(FDR=0.356)
  Adipogenesis	(FDR=0.356)
  PI3K AKT Signaling in Cancer	(FDR=0.356)
  Intrinsic Pathway for Apoptosis	(FDR=0.356)
  NOTCH2 Intracellular Domain Regulates Transcription	(FDR=0.356)
  PECAM1 Interactions	(FDR=0.356)
  Peptide Hormone Biosynthesis	(FDR=0.356)
  Pyrimidine Catabolism	(FDR=0.356)
  Defective RIPK1-mediated Regulated Necrosis	(FDR=0.356)
  Endosomal Vacuolar Pathway	(FDR=0.356)
  TP53 Regulates Transcription of Caspase Activators and Caspases	(FDR=0.356)
  TP53 Regulates Transcription of Death Receptors and Ligands	(FDR=0.356)
  PI5P, PP2A and IER3 Regulate PI3K AKT Signaling	(FDR=0.356)
  FCERI Mediated MAPK Activation	(FDR=0.356)
  Transcriptional Activation of Mitochondrial Biogenesis	(FDR=0.361)
  Neurexins and Neuroligins	(FDR=0.369)
  NF-kB Is Activated and Signals Survival	(FDR=0.37)
  Nephron Development	(FDR=0.37)
  Advanced Glycosylation Endproduct Receptor Signaling	(FDR=0.37)
  IRF3-mediated Induction of Type I IFN	(FDR=0.37)
  The Activation of Arylsulfatases	(FDR=0.37)
  NRAGE Signals Death Through JNK	(FDR=0.379)
  Signaling by Receptor Tyrosine Kinases	(FDR=0.379)
  Negative Regulation of the PI3K AKT Network	(FDR=0.379)
  Physiological Factors	(FDR=0.379)
  Regulation of IFNG Signaling	(FDR=0.379)
  Regulation of TP53 Activity Through Association With Co-factors	(FDR=0.379)
  Glycogen Breakdown (Glycogenolysis)	(FDR=0.379)
  Glycogen Synthesis	(FDR=0.379)
  TP53 Regulates Transcription of Cell Death Genes With Uncertain Role in P53-Dependent Apoptosis	(FDR=0.379)
  Tryptophan Catabolism	(FDR=0.379)
  Regulated Necrosis	(FDR=0.383)
  Ion Channel Transport	(FDR=0.386)
  YAP1- and WWTR1 (TAZ)-stimulated Gene Expression	(FDR=0.393)
  p130Cas Linkage to MAPK Signaling for Integrins	(FDR=0.393)
  GRB2 SOS Provides Linkage to MAPK Signaling for Integrins	(FDR=0.393)
  Transcriptional Regulation by MECP2	(FDR=0.393)
  MAP Kinase Activation	(FDR=0.393)
  Rab Regulation of Trafficking	(FDR=0.397)
  p75NTR Signals via NF-kB	(FDR=0.402)
  Regulation of KIT Signaling	(FDR=0.402)
  Elevation of Cytosolic Ca2+ Levels	(FDR=0.402)
  Signal Regulatory Protein Family Interactions	(FDR=0.402)
  Glycogen Storage Diseases	(FDR=0.402)
  Heme Degradation	(FDR=0.402)
  MAP3K8 (TPL2)-dependent MAPK1 3 Activation	(FDR=0.402)
  Regulation of Endogenous Retroelements by Piwi-interacting RNAs (piRNAs)	(FDR=0.407)
  Membrane Trafficking	(FDR=0.409)
  Aberrant Regulation of Mitotic G1 S Transition in Cancer Due to RB1 Defects	(FDR=0.41)
  Biosynthesis of DHA-derived SPMs	(FDR=0.41)
  RIP-mediated NFkB Activation via ZBP1	(FDR=0.41)
  Defective Binding of RB1 Mutants to E2F1,(E2F2, E2F3)	(FDR=0.41)
  FOXO-mediated Transcription of Cell Cycle Genes	(FDR=0.41)
  GAB1 Signalosome	(FDR=0.41)
  The NLRP3 Inflammasome	(FDR=0.41)
  Downstream Signaling Events of B Cell Receptor (BCR)	(FDR=0.412)
  Mitochondrial Unfolded Protein Response (UPRmt)	(FDR=0.416)
  ABC Transporters in Lipid Homeostasis	(FDR=0.416)
  Activation of SMO	(FDR=0.416)
  Pre-NOTCH Processing in Golgi	(FDR=0.416)
  Prevention of Phagosomal-Lysosomal Fusion	(FDR=0.416)
  Synthesis of Glycosylphosphatidylinositol (GPI)	(FDR=0.416)
  Lewis Blood Group Biosynthesis	(FDR=0.416)
  MECP2 Regulates Neuronal Receptors and Channels	(FDR=0.416)
  Circadian Clock	(FDR=0.416)
  Interleukin-17 Signaling	(FDR=0.431)
  SARS-CoV Infections	(FDR=0.431)
  Biosynthesis of Specialized Proresolving Mediators (SPMs)	(FDR=0.431)
  Intra-Golgi and Retrograde Golgi-to-ER Traffic	(FDR=0.431)
  NOTCH4 Intracellular Domain Regulates Transcription	(FDR=0.441)
  Apoptotic Factor-Mediated Response	(FDR=0.441)
  Class I Peroxisomal Membrane Protein Import	(FDR=0.441)
  Synthesis of Leukotrienes (LT) and Eoxins (EX)	(FDR=0.441)
  Vitamin B5 (Pantothenate) Metabolism	(FDR=0.441)
  Positive Epigenetic Regulation of rRNA Expression	(FDR=0.445)
  Cell Death Signalling via NRAGE, NRIF and NADE	(FDR=0.448)
  Generic Transcription Pathway	(FDR=0.448)
  ZBP1(DAI) Mediated Induction of Type I IFNs	(FDR=0.448)
  Negative Regulation of NMDA Receptor-Mediated Neuronal Transmission	(FDR=0.448)
  Synaptic Adhesion-Like Molecules	(FDR=0.448)
  Interleukin-37 Signaling	(FDR=0.448)
