,min_dist_other,min_dist_self,quartile_cat_other,quartile_cat_self,contrasted_with
ENSG00000104219,50.451317,0.82060134,large,small,GM12878
ENSG00000104903,3.7455688,1.109264,large,small,GM12878
ENSG00000232807,3.8477414,1.3770442,mid,small,GM12878
ENSG00000275638,4.0791893,0.8659075,large,small,GM12878
ENSG00000100504,15.632946,0.3909606,large,small,GM12878
ENSG00000218018,1.7662162,2.0847826,mid,small,GM12878
ENSG00000164171,10.706799,7.6814747,mid,small,GM12878
ENSG00000165507,2.4678168,0.7082426,mid,small,GM12878
ENSG00000144031,4.342,0.49925578,mid,small,GM12878
ENSG00000176749,1.9547497,0.6705362,mid,small,GM12878
ENSG00000111186,3.445892,0.40719247,mid,small,GM12878
ENSG00000124588,2.2616525,3.095359,mid,small,GM12878
ENSG00000151348,2.2952347,2.2588668,mid,small,GM12878
ENSG00000264070,1.8281053,1.4765936,mid,small,GM12878
ENSG00000267787,1.5181341,1.6865474,mid,small,GM12878
ENSG00000119986,2.0930731,0.61498564,mid,small,GM12878
ENSG00000103740,1.1773527,1.1822107,mid,small,GM12878
ENSG00000145284,11.837956,3.5168247,mid,small,GM12878
ENSG00000084764,4.1974835,3.9982934,mid,small,GM12878
ENSG00000157613,1.6979346,1.883736,mid,small,GM12878
ENSG00000172380,7.3651247,2.5201783,mid,small,GM12878
ENSG00000174099,9.733024,1.7388923,mid,small,GM12878
ENSG00000197046,1.2678225,1.0919356,mid,small,GM12878
ENSG00000114988,4.7405305,5.558133,mid,small,GM12878
ENSG00000105088,1.4345974,1.3520671,mid,small,GM12878
ENSG00000184068,2.6468234,0.4871191,mid,small,GM12878
ENSG00000102935,1.8921438,1.8386575,mid,small,GM12878
ENSG00000120896,5.4032717,2.019913,mid,small,GM12878
ENSG00000171502,22.380013,0.27087018,mid,small,GM12878
ENSG00000225648,3.4854832,2.2336,mid,small,GM12878
ENSG00000175356,2.7510574,0.21694587,mid,small,GM12878
ENSG00000118473,6.685793,1.8134345,mid,small,GM12878
ENSG00000108771,2.210615,0.5318378,mid,small,GM12878
ENSG00000166126,1.0433571,1.5126277,mid,small,GM12878
ENSG00000115310,6.172946,0.9072494,mid,small,GM12878
ENSG00000182963,8.656432,0.8265593,large,small,GM12878
ENSG00000074660,1.8372487,1.499237,mid,small,GM12878
ENSG00000163453,12.912387,2.4400694,mid,small,GM12878
ENSG00000125398,1.7355275,0.3526974,mid,small,GM12878
ENSG00000225349,2.3719192,1.8765883,mid,small,GM12878
ENSG00000104368,4.581839,3.1036117,mid,small,GM12878
ENSG00000131370,3.9115307,4.6526537,mid,small,GM12878
ENSG00000176349,11.162964,0.6808026,mid,small,GM12878
ENSG00000154175,15.128906,4.6976986,mid,small,GM12878
ENSG00000225793,6.3196936,4.371266,mid,small,GM12878
ENSG00000186111,2.3981445,0.70906365,mid,small,GM12878
ENSG00000138641,12.375274,2.1344879,mid,small,GM12878
ENSG00000147459,2.5431366,0.3673547,mid,small,GM12878
ENSG00000139174,5.105131,2.3983812,mid,small,GM12878
ENSG00000152284,11.668504,0.30552378,mid,small,GM12878
ENSG00000137266,3.515456,3.0788453,mid,small,GM12878
ENSG00000270194,97.51029,6.294767,mid,small,GM12878
ENSG00000115594,4.8083386,1.480418,mid,small,GM12878
